riskCategory,neighborhood,address,city,state,year,stories,retrofitLevel,occupancyType,occupantLoad,confirmationSource,FID,x,y
M,Capitol Hill,1620 14th Ave,Seattle,Washington,1919,2,No visible,R,2,GSV,77,-122.314198986821,47.6159305285921
M,Ballard,5354 Ballard Ave NW,Seattle,Washington,1903,1,Visible,C,2,Field,78,-122.384559120919,47.6675828953253
M,Capitol Hill,1621 12th Ave,Seattle,Washington,1917,1,Sub Alt,C/O,3,Ph,79,-122.316900662851,47.6156589621827
M,Ballard,5400 22nd Ave NW,Seattle,Washington,1901,1,No visible,C,2,GSV,80,-122.38475842564,47.6677985165521
H,Capitol Hill,1625 Broadway,Seattle,Washington,1910,2,No visible,P,3,PR,81,-122.320841257592,47.6155118454599
M,Capitol Hill,1626 13th Ave,Seattle,Washington,1908,3,Sub Alt,R,2,PR,82,-122.31550903144,47.6161006943915
M,Ballard,5403 Ballard Ave NW,Seattle,Washington,1901,2,No visible,C/R,3,GSV,83,-122.384813204906,47.6676330126533
M,Capitol Hill,1628 Bellevue Ave,Seattle,Washington,1916,4,No visible,R,2,GSV,84,-122.326738820502,47.6160587358356
M,Ballard,5405 Leary Ave NW,Seattle,Washington,1904,2,Sub Alt,C/O,3,Field,85,-122.382619695052,47.6670257763846
M,Capitol Hill,1629 Harvard Ave,Seattle,Washington,1940,6,No visible,R,3,GSV,86,-122.322180470509,47.6161997634404
H,Ballard,5414 Ballard Ave NW,Seattle,Washington,1908,2,No visible,P,3,PR,87,-122.385202488037,47.6679337168205
M,Capitol Hill,1630 Boylston Ave,Seattle,Washington,1917,4,No visible,R,2,Field,88,-122.323368135841,47.6162195775909
M,Ballard,5419 Ballard Ave NW,Seattle,Washington,1913,1,No visible,C,2,Ph,89,-122.385385474861,47.6679838344166
M,Capitol Hill,1631 Belmont Ave,Seattle,Washington,1928,3,No visible,R,2,Ph,90,-122.324510345522,47.6161787842064
M,Ballard,5424 Ballard Ave NW,Seattle,Washington,1906,2,No visible,C/O,3,GSV,91,-122.385723475868,47.668274048628
M,Capitol Hill,1633 Melrose Ave,Seattle,Washington,1916,5,Permit,R,2,PR,92,-122.327920658462,47.6162708602426
M,Ballard,5425 Ballard Ave NW,Seattle,Washington,1926,2,No visible,C/R,2,Field,93,-122.385496199406,47.6680537652184
H,Capitol Hill,1727 Harvard Ave,Seattle,Washington,1923,3,No visible,P,3,Field,94,-122.322209608264,47.6172976841134
M,Ballard,5425 Russell Ave NW,Seattle,Washington,1910,3,Visible,C/O,3,GSV,95,-122.382849302642,47.6683952631798
M,Capitol Hill,1736 Belmont Ave,Seattle,Washington,1923,7,No visible,R,3,GSV,96,-122.324439249257,47.6174795050169
M,Ballard,5429 Ballard Ave NW,Seattle,Washington,1923,1,No visible,C,2,Field,97,-122.385675689986,47.6681738139451
M,Capitol Hill,1736 Summit Ave,Seattle,Washington,1925,4,No visible,R,2,GSV,98,-122.325498707032,47.617450367331
M,Ballard,5443 Ballard Ave NW,Seattle,Washington,1906,2,Visible,Mixed,2,Field,99,-122.386067304246,47.6684348906156
M,Capitol Hill,1743 Summit Ave,Seattle,Washington,1916,4,No visible,C/R,2,GSV,100,-122.325580293822,47.6175785744811
M,Ballard,5449 Ballard Ave NW,Seattle,Washington,1920,2,Sub Alt,P,2,Field,101,-122.386127911782,47.6684745180213
M,Capitol Hill,1815 15th Ave,Seattle,Washington,1929,2,No visible,R,2,GSV,102,-122.312789872398,47.6181811485989
M,Capitol Hill,1819 Bellevue Ave,Seattle,Washington,1929,4,No visible,R,2,GSV,103,-122.326779613897,47.618371128281
M,Ballard,5463 Leary Ave NW,Seattle,Washington,1950,1,No visible,C,2,Field,104,-122.38413137552,47.6683264973539
M,Capitol Hill,1820 Boylston Ave,Seattle,Washington,1920,3,No visible,R,2,Ph,105,-122.323378625469,47.6182196103605
M,Capitol Hill,1833 13th Ave,Seattle,Washington,1928,4,No visible,R,2,GSV,106,-122.315630245613,47.6184981699657
C,Ballard,5800 15th Ave NW,Seattle,Washington,1922,3,Permit,S,3,PR,107,-122.376198843726,47.6711890150362
M,Capitol Hill,209 Broadway E,Seattle,Washington,1908,1,No visible,C,2,Field,108,-122.320949680654,47.6203385264421
M,Ballard,5814 22nd Ave NW,Seattle,Washington,1928,4,No visible,R,2,Field,109,-122.384708307732,47.6713999744546
M,Capitol Hill,212 11th Ave E,Seattle,Washington,1929,3,No visible,R,2,GSV,110,-122.318179238588,47.6204096230662
M,Ballard,923 NW 54th St,Seattle,Washington,,1,No visible,G,1,PR,111,-122.369139152792,47.6678721789334
M,Capitol Hill,214 Summit Ave E,Seattle,Washington,1917,4,No visible,R,2,SIM,112,-122.325228306046,47.6201800158262
