key,lat,lng
Edmonds|Edmonds Elementary,47.820341,-122.36371
Edmonds|Edmonds-Woodway High,47.806,-122.3368
Edmonds|Hazelwood Elementary,47.81323,-122.27664
Edmonds|Hilltop Elementary,47.815,-122.2425
Edmonds|Lynndale Elementary School (old),47.82554,-122.33128
Edmonds|Lynnwood Elementary,47.829838,-122.29455
Edmonds|Lynnwood High,47.83239,-122.23739
Edmonds|Madrona Nongraded,47.784218,-122.35779
Edmonds|Maplewood Center,47.816935,-122.346788
Edmonds|Martha Lake Elementary,47.839261,-122.24808
Edmonds|Meadowdale Elementary,47.84857,-122.32584
Edmonds|Meadowdale High,47.8451,-122.3139
Edmonds|Meadowdale Middle,47.8457,-122.3211
Edmonds|Mountlake Terrace Elementary,47.799446,-122.30201
Edmonds|Mountlake Terrace High,47.8017,-122.2881
Edmonds|Oak Heights Elementary,47.857958,-122.25863
Edmonds|Seaview Elementary,47.82772,-122.34815
Edmonds|Sherwood Elementary,47.790324,-122.37437
Edmonds|Spruce Elementary,47.84077,-122.28688
Edmonds|Terrace Park Elementary,47.792965,-122.30699
Edmonds|Westgate Elementary,47.799,-122.3623
Edmonds|Woodway Campus,47.7883,-122.366
Edmonds|Woodway Elementary (form. Snoline),47.782054,-122.360847
Ellensburg|Ellensburg High,46.994007,-120.52711
Ellensburg|Lincoln Elementary,46.990859,-120.53982
Ellensburg|Morgan Middle,46.991899,-120.54307
Ellensburg|Mt. Stuart Elementary,47.008261,-120.55925
Ellensburg|Transportation Maintenance Center,46.9944,-120.52371
Ellensburg|Valley View Elementary,46.99408,-120.52236
Elma|Elma Elementary,47.004181,-123.43421
Elma|Elma High,47.003216,-123.41375
Elma|Elma Middle,47.003211,-123.40969
Endicott|Endicott-St John Elementary and Middle,46.93285,-117.6904
Entiat|Bus Garage,47.6665811,-120.2252593
Entiat|Entiat Middle and High,47.66422,-120.225546
Entiat|Paul Rumburg Elementary,47.6644207,-120.2255817
Enumclaw|Black Diamond Elementary,47.3099213,-122.0051183
Enumclaw|Byron Kibler Elementary,47.2104709,-121.9961883
Enumclaw|Enumclaw High,47.1912985,-122.0062428
Enumclaw|Enumclaw Middle,47.1871021,-122.0078217
Enumclaw|J. J. Smith Elementary,47.206814,-121.9935158
Enumclaw|Southwood Elementary,47.1875522,-122.0117385
Enumclaw|Sunrise Elementary,47.1854441,-122.014815
Enumclaw|Thunder Mountain Middle,47.2232248,-121.9877246
Enumclaw|Westwood Elementary,47.2288413,-122.0581463
Ephrata|Beezley Springs Elementary,47.326164,-119.549607
Ephrata|Columbia Ridge Elementary,47.317506,-119.5396
Ephrata|Ephrata High,47.326126,-119.55151
Ephrata|Ephrata Middle,47.315745,-119.55164
Ephrata|Grant Elementary,47.325646,-119.55414
Ephrata|Parkway,47.312661,-119.56069
Ephrata|Sage Hills High,47.318068,-119.53705
Evaline|Evaline Elementary,46.5391,-122.93841
Everett|Cascade High,47.9242879,-122.2219125
Everett|Cedar Wood Elementary,47.8446923,-122.1887633
Everett|Eisenhower Middle,47.9043557,-122.2001122
Everett|Emerson Elementary,47.9191693,-122.223175
Everett|Everett High,47.9852359,-122.2091
Everett|Evergreen Middle,47.9266784,-122.2268483
Everett|Forest View Elementary,47.8572186,-122.1564635
Everett|Garfield Elementary,47.9873962,-122.1910201
Everett|Gateway Middle,47.854158,-122.1551917
Everett|Hawthorne Elementary,48.0020543,-122.1951218
Everett|Heatherwood Middle,47.8720062,-122.2093724
Everett|Henry M. Jackson High,47.8736038,-122.209038
